Event Type,Event Tag Group,Event Tag,Communication Type,Message Name / Purpose,Timing (Relative to Event),Channel,Notes / Content Summary
Festival / Community Event,[MSS],[COMMUNITY],Email,Save the Date,-60,Email,—
Festival / Community Event,[MSS],[COMMUNITY],Email,Reminder,-7,Email,—
Festival / Community Event,[MSS],[COMMUNITY],In-Studio,Poster Display,-30,Print,Posters in studio
Festival / Community Event,[MSS],[COMMUNITY],Social Media,Instagram Post,-30,Instagram Post,Repost event posters
Festival / Community Event,[MSS],[COMMUNITY],Social Media,Instagram Post,-7,Instagram Story,
Festival / Community Event,[MSS],[COMMUNITY],Social Media,Instagram Post,-3,Instagram Story,
Festival / Community Event,[MSS],[COMMUNITY],Social Media,Recap Post,1,Instagram Post,—
Instrument Demo (Waldorf),[MSS],[INST DEMO],Social Media,Story Post,-1,Instagram Story,
Instrument Demo (Waldorf),[MSS],[INST DEMO],Social Media,Recap Post,1,Instagram Post,
Instrument Demo (library),[MSH],[INST DEMO],Social Media,Story Post,-1,Instagram Story,
Instrument Demo (library),[MSH],[INST DEMO],Social Media,Recap Post,1,Instagram Post,
Little Rockers (library),[MSH],[INST DEMO],Social Media,Story Post,-1,Instagram Story,
Little Rockers (library),[MSH],[INST DEMO],Social Media,Recap Post,1,Instagram Post,
Open Mic,[MSH],[OPEN MIC],Email,Save the Date + Sign-Up,-21,Email,Include sign-up link
Open Mic,[MSH],[OPEN MIC],Email,Reminder,-14,Email,—
Open Mic,[MSH],[OPEN MIC],Email,The List + Confirmation,-3,Email,Include attendance confirmation
Open Mic,[MSH],[OPEN MIC],Social Media,Poster Post,-14,Instagram Post,Sign-up in bio!'
Open Mic,[MSH],[OPEN MIC],Social Media,Story Post,0,Instagram Story,Happening tonight!'
Open Mic,[MSH],[OPEN MIC],Social Media,Recap Post,1,Instagram Post,Tag participants
Recital,[MSH],[RECITAL],Email,Save the Date,-60,Email,Send to all families; encourage attendance even if not performing
Recital,[MSH],[RECITAL],Email,Reminder with Sign-Up Link,-30,Email,Include registration link for performers
Recital,[MSH],[RECITAL],Email,Performance Schedule,-20,Email,Include 'Last chance to register!'
Recital,[MSH],[RECITAL],Email,Final Reminder,-7,Email,Include full performance schedule
Recital,[MSH],[RECITAL],Social Media,Story Post,-3,Instagram Story,Previous recital pic + 'TMS students only' note
Recital,[MSH],[RECITAL],Social Media,Story Post,-1,Instagram Story,Previous recital pic + 'TMS students only' note
Recital,[MSH],[RECITAL],Social Media,Recap Post,1,Instagram Post,"Collage/slideshow, tag parents/students"
Songwriter Showcase / Studio Show,[MSH],[SHOW],Email,Save the Date,-14,Email,Via monthly newsletter
Songwriter Showcase / Studio Show,[MSH],[SHOW],Email,Reminder with Ticket Link,-7,Email,Include ticket link
Songwriter Showcase / Studio Show,[MSH],[SHOW],Print,Put up Flyer,-21,Instagram Post,Include ticket link
Songwriter Showcase / Studio Show,[MSH],[SHOW],Social Media,Story Post,-7,Instagram Post,Include ticket link
Songwriter Showcase / Studio Show,[MSH],[SHOW],Social Media,Story Post,-3,Instagram Post,Include ticket link
Songwriter Showcase / Studio Show,[MSH],[SHOW],Social Media,Story Post - Show is Tonight!,0,Instagram Post,Include ticket link
Songwriter Showcase / Studio Show,[MSH],[SHOW],Social Media,Recap Reel,1,Instagram Post,Tag performers/hosts
Student Band Show,[MSH],[STUDENT BAND],Email,Save the Date,-60,Email,Send to all families; encourage attendance even if not performing
